Permutation,SkewScore,SatisfiedPairs,DMT12,DMT4,DMT5,DMT15,DMT9,DMT10,DMT6,DMT11,DMT1,DMT3,DMT13,DMT8,DMT2,DMT14
"['Mechanisms', 'Materials', 'Instrumentation', 'Structures', 'Thermofluids', 'Dynamics']",0.531,6,2.741,4.142,4.91,4.289,7.95,3.839,3.851,6.112,3.598,2.16,2.059,4.54,4.301,5.259
"['Structures', 'Materials', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Dynamics']",0.531,5,2.526,4.529,5.387,2.046,7.132,3.801,6.55,4.462,4.398,1.622,3.139,4.725,4.794,5.149
"['Structures', 'Materials', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Mechanisms']",0.531,7,2.334,6.146,4.688,2.473,6.381,3.469,6.287,3.011,3.524,2.853,4.247,4.096,5.291,5.086
"['Dynamics', 'Materials', 'Thermofluids', 'Structures', 'Mechanisms', 'Instrumentation']",0.531,7,0.698,6.8,4.231,5.33,5.055,4.495,4.421,2.538,1.1,5.784,6.081,1.248,5.256,5.362
"['Instrumentation', 'Structures', 'Materials', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.53,8,3.778,7.091,4.007,3.972,5.25,4.242,4.828,4.37,2.36,5.028,4.729,4.958,4.558,3.439
"['Instrumentation', 'Dynamics', 'Materials', 'Mechanisms', 'Thermofluids', 'Structures']",0.53,7,3.008,7.717,3.518,5.913,4.615,4.664,3.3,4.151,0.821,6.839,5.636,3.418,4.549,3.565
"['Dynamics', 'Materials', 'Thermofluids', 'Mechanisms', 'Structures', 'Instrumentation']",0.53,7,0.674,6.641,4.207,5.599,5.167,4.495,4.104,2.784,1.052,5.784,5.922,1.2,5.208,5.449
"['Instrumentation', 'Structures', 'Materials', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.529,8,3.912,6.706,4.142,3.857,5.52,4.242,4.828,4.774,2.63,4.642,4.344,5.228,4.443,3.459
"['Instrumentation', 'Mechanisms', 'Materials', 'Dynamics', 'Thermofluids', 'Structures']",0.529,7,3.543,6.187,4.054,5.454,5.686,4.664,3.3,5.758,1.892,5.309,4.106,4.49,4.09,3.642
"['Structures', 'Materials', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Dynamics']",0.529,5,2.771,4.897,5.125,2.098,7.255,3.469,6.287,4.321,4.398,1.604,2.999,4.97,4.917,5.149
"['Mechanisms', 'Materials', 'Instrumentation', 'Dynamics', 'Thermofluids', 'Structures']",0.529,5,2.467,4.534,4.635,4.956,7.676,3.839,3.302,5.838,3.049,2.826,2.451,3.991,4.419,5.376
"['Thermofluids', 'Instrumentation', 'Structures', 'Dynamics', 'Materials', 'Mechanisms']",0.528,8,2.237,4.277,5.995,4.649,2.444,8.118,6.524,6.482,1.382,7.3,7.137,2.928,3.054,2.363
"['Mechanisms', 'Materials', 'Thermofluids', 'Structures', 'Dynamics', 'Instrumentation']",0.528,5,1.947,3.232,5.479,4.259,7.553,4.495,4.421,6.285,3.598,2.217,2.513,3.745,4.185,5.54
"['Thermofluids', 'Dynamics', 'Instrumentation', 'Materials', 'Structures', 'Mechanisms']",0.528,8,1.235,4.841,5.632,5.576,2.419,7.852,5.763,5.48,0.586,7.925,7.665,1.528,3.487,3.097
"['Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms', 'Materials', 'Dynamics']",0.527,8,2.471,3.611,6.229,4.449,2.911,8.118,6.524,7.182,1.849,6.633,6.47,3.395,2.854,2.396
"['Mechanisms', 'Materials', 'Thermofluids', 'Dynamics', 'Structures', 'Instrumentation']",0.527,5,1.788,3.458,5.321,4.645,7.394,4.495,4.104,6.126,3.28,2.602,2.739,3.428,4.253,5.608
"['Dynamics', 'Materials', 'Instrumentation', 'Structures', 'Mechanisms', 'Thermofluids']",0.527,8,1.492,7.991,3.379,5.5,5.453,3.417,3.57,2.084,1.1,5.728,5.627,2.042,5.653,5.362
"['Thermofluids', 'Dynamics', 'Instrumentation', 'Materials', 'Mechanisms', 'Structures']",0.527,6,1.218,4.726,5.615,5.772,2.5,7.852,5.531,5.659,0.551,7.925,7.549,1.493,3.452,3.16
"['Instrumentation', 'Structures', 'Thermofluids', 'Materials', 'Dynamics', 'Mechanisms']",0.526,9,3.679,6.197,4.648,4.014,4.035,5.605,5.567,5.323,2.164,5.891,5.592,4.761,3.976,2.759
"['Instrumentation', 'Dynamics', 'Materials', 'Structures', 'Mechanisms', 'Thermofluids']",0.526,8,3.147,7.992,3.377,5.503,4.62,4.242,3.567,3.74,1.1,6.558,5.63,3.698,4.828,3.71
"['Thermofluids', 'Mechanisms', 'Instrumentation', 'Materials', 'Structures', 'Dynamics']",0.526,7,2.004,2.644,6.401,4.916,3.957,7.852,5.763,7.787,2.124,5.728,5.468,3.066,2.827,3.207
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Structures', 'Materials', 'Mechanisms']",0.526,7,1.998,4.62,5.756,5.231,2.205,8.118,6.045,6.242,0.903,7.882,7.479,2.449,3.157,2.465
"['Dynamics', 'Materials', 'Instrumentation', 'Mechanisms', 'Structures', 'Thermofluids']",0.526,9,1.469,7.833,3.356,5.77,5.564,3.417,3.253,2.33,1.052,5.728,5.468,1.995,5.605,5.449
"['Instrumentation', 'Structures', 'Thermofluids', 'Materials', 'Mechanisms', 'Dynamics']",0.525,8,3.778,5.915,4.746,3.93,4.232,5.605,5.567,5.618,2.36,5.609,5.311,4.958,3.891,2.773
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures', 'Materials', 'Dynamics']",0.525,8,2.435,3.371,6.193,4.856,3.079,8.118,6.045,7.553,1.777,6.633,6.23,3.323,2.782,2.528
"['Structures', 'Materials', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Instrumentation']",0.525,4,2.347,4.542,5.298,2.148,7.043,3.622,6.46,4.282,4.398,1.635,3.241,4.546,4.986,5.43
"['Structures', 'Materials', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Instrumentation']",0.525,6,2.008,5.509,4.959,2.438,6.366,3.622,6.46,3.267,3.721,2.602,4.208,3.869,5.276,5.382
"['Thermofluids', 'Mechanisms', 'Instrumentation', 'Materials', 'Dynamics', 'Structures']",0.525,6,1.888,2.81,6.286,5.198,3.841,7.852,5.531,7.671,1.892,6.009,5.634,2.834,2.877,3.256
"['Dynamics', 'Materials', 'Structures', 'Thermofluids', 'Instrumentation', 'Mechanisms']",0.525,6,1.018,7.308,3.879,5.021,5.188,3.801,4.408,2.08,1.382,5.471,5.918,1.709,5.627,5.545
"['Instrumentation', 'Mechanisms', 'Materials', 'Structures', 'Dynamics', 'Thermofluids']",0.524,7,3.818,6.076,4.047,4.928,5.961,4.242,3.567,5.751,2.441,4.642,3.714,5.039,4.253,3.805
"['Instrumentation', 'Dynamics', 'Materials', 'Mechanisms', 'Structures', 'Thermofluids']",0.524,8,3.124,7.833,3.353,5.773,4.731,4.242,3.25,3.985,1.052,6.558,5.471,3.65,4.781,3.797
"['Mechanisms', 'Materials', 'Instrumentation', 'Structures', 'Dynamics', 'Thermofluids']",0.524,5,2.741,4.423,4.628,4.43,7.95,3.417,3.57,5.831,3.598,2.16,2.059,4.54,4.583,5.54
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Materials', 'Structures']",0.524,7,2.16,3.763,5.918,5.523,2.804,8.118,5.496,7.278,1.228,7.3,6.623,2.774,2.9,2.645
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Materials', 'Structures']",0.524,7,1.956,4.345,5.715,5.697,2.397,8.118,5.496,6.668,0.821,7.882,7.204,2.367,3.075,2.616
"['Dynamics', 'Materials', 'Structures', 'Instrumentation', 'Thermofluids', 'Mechanisms']",0.524,6,1.263,7.676,3.617,5.073,5.31,3.469,4.145,1.94,1.382,5.454,5.777,1.954,5.75,5.545
"['Instrumentation', 'Mechanisms', 'Materials', 'Dynamics', 'Structures', 'Thermofluids']",0.523,7,3.659,6.302,3.889,5.313,5.802,4.242,3.25,5.592,2.124,5.028,3.941,4.721,4.321,3.873
"['Instrumentation', 'Thermofluids', 'Structures', 'Mechanisms', 'Materials', 'Dynamics']",0.523,9,3.522,5.188,5.102,4.674,3.437,6.691,5.397,6.581,1.849,6.558,5.869,4.446,3.38,2.396
"['Instrumentation', 'Thermofluids', 'Structures', 'Dynamics', 'Materials', 'Mechanisms']",0.523,8,3.289,5.854,4.869,4.874,2.97,6.691,5.397,5.881,1.382,7.225,6.536,3.98,3.58,2.363
"['Structures', 'Materials', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Thermofluids']",0.523,5,2.771,5.178,4.843,2.239,7.255,3.047,6.006,4.04,4.398,1.604,2.999,4.97,5.198,5.43
"['Mechanisms', 'Materials', 'Instrumentation', 'Dynamics', 'Structures', 'Thermofluids']",0.523,6,2.582,4.65,4.47,4.815,7.792,3.417,3.253,5.672,3.28,2.545,2.285,4.223,4.651,5.608
"['Structures', 'Materials', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Thermofluids']",0.523,6,2.433,6.146,4.505,2.529,6.578,3.047,6.006,3.025,3.721,2.572,3.966,4.293,5.488,5.382
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Structures', 'Materials', 'Mechanisms']",0.522,7,3.049,6.197,4.629,5.456,2.731,6.691,4.918,5.641,0.903,7.806,6.878,3.501,3.683,2.465
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Structures', 'Materials', 'Dynamics']",0.521,7,3.486,4.948,5.066,5.081,3.604,6.691,4.918,6.952,1.777,6.558,5.63,4.374,3.308,2.528
"['Instrumentation', 'Dynamics', 'Thermofluids', 'Materials', 'Structures', 'Mechanisms']",0.521,7,2.89,7.324,3.859,5.93,3.246,5.605,3.989,4.534,0.586,7.806,6.719,3.183,4.314,3.097
"['Mechanisms', 'Materials', 'Structures', 'Thermofluids', 'Instrumentation', 'Dynamics']",0.521,4,2.365,3.458,5.227,3.866,7.882,3.801,4.408,6.122,4.077,1.622,2.068,4.404,4.473,5.738
"['Instrumentation', 'Dynamics', 'Thermofluids', 'Materials', 'Mechanisms', 'Structures']",0.52,7,2.873,7.208,3.842,6.127,3.327,5.605,3.758,4.713,0.551,7.806,6.604,3.148,4.279,3.16
"['Mechanisms', 'Materials', 'Structures', 'Instrumentation', 'Thermofluids', 'Dynamics']",0.52,5,2.61,3.826,4.964,3.919,8.005,3.469,4.145,5.981,4.077,1.604,1.928,4.649,4.595,5.738
"['Structures', 'Thermofluids', 'Materials', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.52,7,2.433,4.067,5.872,2.379,4.918,5.512,7.373,5.222,3.721,3.52,4.915,4.293,4.24,4.133
"['Structures', 'Thermofluids', 'Materials', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.52,5,2.334,4.348,5.773,2.463,4.721,5.512,7.373,4.926,3.524,3.802,5.196,4.096,4.324,4.119
"['Dynamics', 'Materials', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Structures']",0.52,8,0.941,6.794,3.802,5.895,5.547,3.801,3.38,2.877,1.228,5.471,5.403,1.555,5.473,5.828
"['Instrumentation', 'Mechanisms', 'Thermofluids', 'Materials', 'Structures', 'Dynamics']",0.519,7,3.659,5.127,4.628,5.271,4.784,5.605,3.989,6.841,2.124,5.609,4.522,4.721,3.655,3.207
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Materials', 'Structures']",0.519,8,3.211,5.34,4.792,5.748,3.33,6.691,4.369,6.678,1.228,7.225,6.022,3.825,3.426,2.645
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Materials', 'Structures']",0.519,7,3.008,5.922,4.588,5.922,2.923,6.691,4.369,6.067,0.821,7.806,6.604,3.418,3.6,2.616
"['Dynamics', 'Materials', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Structures']",0.519,8,1.186,7.161,3.54,5.947,5.67,3.469,3.117,2.737,1.228,5.454,5.263,1.8,5.596,5.828
"['Instrumentation', 'Mechanisms', 'Thermofluids', 'Materials', 'Dynamics', 'Structures']",0.518,8,3.543,5.292,4.512,5.552,4.668,5.605,3.758,6.725,1.892,5.891,4.688,4.49,3.704,3.256
"['Mechanisms', 'Materials', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Structures']",0.518,5,1.851,4.193,4.713,5.115,7.368,3.801,3.38,5.607,3.049,2.87,2.803,3.375,4.693,5.958
"['Dynamics', 'Materials', 'Structures', 'Thermofluids', 'Mechanisms', 'Instrumentation']",0.518,5,0.937,7.039,3.888,5.039,5.295,3.622,4.318,2.196,1.579,5.203,5.738,1.727,5.735,5.841
"['Structures', 'Instrumentation', 'Materials', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.516,8,3.406,5.528,4.828,2.588,5.405,4.191,6.329,4.665,3.721,3.451,4.358,5.267,4.726,4.133
"['Structures', 'Instrumentation', 'Materials', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.516,7,3.308,5.809,4.73,2.672,5.208,4.191,6.329,4.37,3.524,3.732,4.64,5.07,4.811,4.119
"['Structures', 'Materials', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Instrumentation']",0.516,5,2.143,5.509,4.709,2.515,6.636,3.044,6.075,3.286,3.991,2.217,3.823,4.139,5.546,5.786
"['Mechanisms', 'Materials', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Structures']",0.516,6,2.096,4.561,4.45,5.167,7.491,3.469,3.117,5.467,3.049,2.853,2.663,3.621,4.815,5.958
"['Dynamics', 'Materials', 'Structures', 'Instrumentation', 'Mechanisms', 'Thermofluids']",0.516,6,1.362,7.676,3.434,5.13,5.507,3.047,3.864,1.954,1.579,5.172,5.496,2.151,5.947,5.841
"['Structures', 'Materials', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Instrumentation']",0.515,5,2.347,4.927,4.912,2.341,7.043,3.044,6.075,3.897,4.398,1.635,3.241,4.546,5.371,5.815
"['Structures', 'Materials', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Thermofluids']",0.515,5,2.322,5.778,4.517,2.553,6.725,2.801,5.883,3.184,3.991,2.204,3.721,4.318,5.635,5.786
"['Mechanisms', 'Materials', 'Structures', 'Thermofluids', 'Dynamics', 'Instrumentation']",0.515,4,2.186,3.471,5.137,3.968,7.793,3.622,4.318,5.942,4.077,1.635,2.171,4.225,4.664,6.019
"['Dynamics', 'Materials', 'Mechanisms', 'Thermofluids', 'Structures', 'Instrumentation']",0.515,7,0.878,6.641,3.829,5.716,5.574,3.622,3.522,2.813,1.46,5.203,5.34,1.608,5.615,6.06
"['Structures', 'Materials', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Thermofluids']",0.514,5,2.526,5.196,4.721,2.379,7.132,2.801,5.883,3.795,4.398,1.622,3.139,4.725,5.461,5.815
"['Mechanisms', 'Materials', 'Structures', 'Instrumentation', 'Dynamics', 'Thermofluids']",0.513,4,2.61,4.108,4.683,4.059,8.005,3.047,3.864,5.7,4.077,1.604,1.928,4.649,4.877,6.019
"['Thermofluids', 'Structures', 'Dynamics', 'Materials', 'Instrumentation', 'Mechanisms']",0.513,7,1.409,3.758,6.114,4.011,2.9,7.236,7.033,5.653,2.164,6.053,6.89,2.49,3.808,3.726
"['Thermofluids', 'Instrumentation', 'Structures', 'Dynamics', 'Mechanisms', 'Materials']",0.512,7,2.336,4.031,5.848,4.846,2.149,7.872,6.278,6.777,1.579,7.3,7.137,3.125,3.251,2.658
"['Structures', 'Thermofluids', 'Materials', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.512,5,2.322,3.699,5.884,2.404,5.065,5.267,7.25,5.381,3.991,3.152,4.67,4.318,4.387,4.538
"['Structures', 'Thermofluids', 'Materials', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.512,5,2.089,4.366,5.651,2.604,4.598,5.267,7.25,4.681,3.524,3.819,5.336,3.851,4.587,4.505
"['Thermofluids', 'Structures', 'Mechanisms', 'Materials', 'Instrumentation', 'Dynamics']",0.512,5,1.846,2.51,6.551,3.637,3.774,7.236,7.033,6.964,3.037,4.805,5.641,3.364,3.433,3.788
"['Mechanisms', 'Materials', 'Dynamics', 'Thermofluids', 'Structures', 'Instrumentation']",0.512,4,1.788,4.04,4.739,4.935,7.394,3.622,3.522,5.544,3.28,2.602,2.739,3.428,4.835,6.19
"['Dynamics', 'Materials', 'Mechanisms', 'Instrumentation', 'Structures', 'Thermofluids']",0.512,7,1.302,7.277,3.374,5.807,5.786,3.047,3.067,2.571,1.46,5.172,5.098,2.032,5.827,6.06
"['Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms', 'Dynamics', 'Materials']",0.511,8,2.471,3.646,5.982,4.73,2.419,7.872,6.278,7.182,1.849,6.915,6.751,3.395,3.136,2.677
"['Thermofluids', 'Structures', 'Instrumentation', 'Mechanisms', 'Materials', 'Dynamics']",0.511,8,2.257,3.096,6.317,3.845,3.0,7.514,7.003,6.968,2.63,5.728,6.257,3.573,3.334,3.177
"['Thermofluids', 'Structures', 'Instrumentation', 'Dynamics', 'Materials', 'Mechanisms']",0.511,7,2.024,3.763,6.084,4.045,2.533,7.514,7.003,6.268,2.164,6.394,6.924,3.106,3.534,3.144
"['Thermofluids', 'Dynamics', 'Structures', 'Materials', 'Instrumentation', 'Mechanisms']",0.511,7,1.018,4.316,5.723,4.96,2.509,7.236,6.251,5.262,1.382,7.002,7.448,1.709,3.975,3.893
"['Dynamics', 'Thermofluids', 'Materials', 'Instrumentation', 'Structures', 'Mechanisms']",0.511,8,0.865,6.447,4.304,6.031,3.252,5.512,4.435,3.457,0.586,7.37,7.295,1.158,4.954,4.749
"['Mechanisms', 'Materials', 'Dynamics', 'Instrumentation', 'Structures', 'Thermofluids']",0.51,5,2.212,4.676,4.284,5.026,7.606,3.047,3.067,5.302,3.28,2.572,2.497,3.852,5.047,6.19
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Structures', 'Mechanisms', 'Materials']",0.51,7,2.096,4.374,5.608,5.427,1.91,7.872,5.798,6.537,1.1,7.882,7.479,2.646,3.354,2.761
"['Dynamics', 'Thermofluids', 'Materials', 'Instrumentation', 'Mechanisms', 'Structures']",0.51,8,0.848,6.331,4.287,6.228,3.333,5.512,4.203,3.637,0.551,7.37,7.179,1.123,4.919,4.813
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures', 'Dynamics', 'Materials']",0.509,8,2.435,3.406,5.947,5.137,2.586,7.872,5.798,7.553,1.777,6.915,6.512,3.323,3.064,2.809
"['Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms', 'Structures', 'Materials']",0.509,6,2.072,4.215,5.584,5.697,2.021,7.872,5.481,6.783,1.052,7.882,7.32,2.599,3.306,2.848
"['Thermofluids', 'Mechanisms', 'Structures', 'Materials', 'Instrumentation', 'Dynamics']",0.509,5,1.787,2.119,6.492,4.301,4.047,7.236,6.251,7.569,2.92,4.805,5.251,3.247,3.316,4.003
"['Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics', 'Structures', 'Materials']",0.508,7,2.276,3.633,5.788,5.523,2.428,7.872,5.481,7.394,1.46,7.3,6.738,3.006,3.132,2.877
"['Dynamics', 'Materials', 'Structures', 'Mechanisms', 'Thermofluids', 'Instrumentation']",0.508,5,1.072,7.039,3.638,5.116,5.565,3.044,3.933,2.215,1.849,4.817,5.353,1.997,6.005,6.245
"['Instrumentation', 'Thermofluids', 'Structures', 'Mechanisms', 'Dynamics', 'Materials']",0.507,8,3.522,5.223,4.856,4.955,2.944,6.445,5.151,6.581,1.849,6.839,6.151,4.446,3.661,2.677
"['Instrumentation', 'Thermofluids', 'Structures', 'Dynamics', 'Mechanisms', 'Materials']",0.507,8,3.387,5.608,4.721,5.071,2.675,6.445,5.151,6.176,1.579,7.225,6.536,4.177,3.777,2.658
"['Structures', 'Instrumentation', 'Materials', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.507,6,3.308,6.194,4.344,2.865,5.208,3.613,5.944,3.984,3.524,3.732,4.64,5.07,5.196,4.505
"['Mechanisms', 'Thermofluids', 'Materials', 'Instrumentation', 'Structures', 'Dynamics']",0.507,6,2.212,2.598,5.652,4.877,5.946,5.512,4.435,7.499,3.28,3.52,3.446,3.852,3.799,4.941
"['Thermofluids', 'Dynamics', 'Instrumentation', 'Structures', 'Materials', 'Mechanisms']",0.507,7,1.394,4.663,5.454,5.576,1.903,7.514,5.743,5.638,0.903,7.925,7.824,1.846,3.804,3.414
"['Thermofluids', 'Structures', 'Dynamics', 'Materials', 'Mechanisms', 'Instrumentation']",0.507,6,1.328,3.49,6.123,4.029,3.007,7.057,6.943,5.769,2.36,5.784,6.711,2.508,3.915,4.021
"['Dynamics', 'Materials', 'Structures', 'Mechanisms', 'Instrumentation', 'Thermofluids']",0.507,5,1.251,7.308,3.446,5.154,5.654,2.801,3.741,2.113,1.849,4.805,5.251,2.176,6.094,6.245
"['Structures', 'Instrumentation', 'Materials', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.506,8,3.541,5.528,4.578,2.665,5.674,3.613,5.944,4.684,3.991,3.065,3.973,5.537,4.996,4.538
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Structures', 'Mechanisms', 'Materials']",0.506,7,3.147,5.95,4.482,5.653,2.435,6.445,4.672,5.937,1.1,7.806,6.878,3.698,3.88,2.761
"['Structures', 'Thermofluids', 'Materials', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.506,5,2.143,3.712,5.795,2.506,4.975,5.088,7.161,5.202,3.991,3.165,4.772,4.139,4.579,4.819
"['Mechanisms', 'Thermofluids', 'Materials', 'Instrumentation', 'Dynamics', 'Structures']",0.506,5,2.096,2.763,5.536,5.158,5.83,5.512,4.203,7.383,3.049,3.802,3.611,3.621,3.848,4.991
"['Structures', 'Thermofluids', 'Materials', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.506,5,2.008,4.097,5.66,2.621,4.706,5.088,7.161,4.798,3.721,3.551,5.157,3.869,4.694,4.8
"['Dynamics', 'Instrumentation', 'Materials', 'Thermofluids', 'Structures', 'Mechanisms']",0.506,8,1.839,7.908,3.261,6.24,3.739,4.191,3.391,2.901,0.586,7.3,6.738,2.132,5.44,4.749
"['Thermofluids', 'Structures', 'Mechanisms', 'Materials', 'Dynamics', 'Instrumentation']",0.506,6,1.667,2.523,6.461,3.739,3.684,7.057,6.943,6.785,3.037,4.817,5.744,3.185,3.625,4.07
"['Dynamics', 'Materials', 'Mechanisms', 'Structures', 'Thermofluids', 'Instrumentation']",0.506,5,1.036,6.8,3.602,5.523,5.732,3.044,3.454,2.587,1.777,4.817,5.114,1.925,5.933,6.377
"['Thermofluids', 'Dynamics', 'Mechanisms', 'Materials', 'Instrumentation', 'Structures']",0.506,5,0.941,3.802,5.646,5.834,2.869,7.236,5.223,6.059,1.228,7.002,6.934,1.555,3.821,4.176
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Structures', 'Dynamics', 'Materials']",0.505,8,3.486,4.983,4.82,5.363,3.112,6.445,4.672,6.952,1.777,6.839,5.911,4.374,3.589,2.809
"['Mechanisms', 'Materials', 'Structures', 'Dynamics', 'Thermofluids', 'Instrumentation']",0.505,4,2.186,3.857,4.752,4.161,7.793,3.044,3.933,5.557,4.077,1.635,2.171,4.225,5.05,6.404
"['Thermofluids', 'Mechanisms', 'Instrumentation', 'Structures', 'Materials', 'Dynamics']",0.505,7,2.163,2.466,6.223,4.916,3.441,7.514,5.743,7.945,2.441,5.728,5.627,3.384,3.145,3.524
"['Dynamics', 'Instrumentation', 'Materials', 'Thermofluids', 'Mechanisms', 'Structures']",0.505,8,1.822,7.792,3.243,6.437,3.82,4.191,3.159,3.08,0.551,7.3,6.623,2.097,5.406,4.813
"['Thermofluids', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Materials', 'Structures']",0.505,6,1.353,4.388,5.413,6.042,2.095,7.514,5.194,6.064,0.821,7.925,7.549,1.763,3.722,3.565
"['Thermofluids', 'Mechanisms', 'Dynamics', 'Materials', 'Instrumentation', 'Structures']",0.505,6,1.273,2.854,5.978,5.549,3.533,7.236,5.223,7.055,1.892,6.053,5.985,2.219,3.536,4.223
"['Dynamics', 'Materials', 'Mechanisms', 'Structures', 'Instrumentation', 'Thermofluids']",0.505,5,1.215,7.068,3.41,5.561,5.822,2.801,3.262,2.484,1.777,4.805,5.011,2.104,6.022,6.377
"['Thermofluids', 'Dynamics', 'Structures', 'Materials', 'Mechanisms', 'Instrumentation']",0.505,6,0.937,4.048,5.732,4.978,2.617,7.057,6.162,5.379,1.579,6.733,7.269,1.727,4.083,4.189
"['Instrumentation', 'Structures', 'Thermofluids', 'Dynamics', 'Materials', 'Mechanisms']",0.504,8,3.679,6.245,4.311,4.4,3.361,5.268,5.23,5.323,2.164,6.276,5.978,4.761,4.361,3.144
"['Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Structures', 'Materials']",0.504,8,3.327,5.21,4.661,5.748,2.953,6.445,4.355,6.793,1.46,7.225,6.138,4.057,3.657,2.877
"['Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Structures', 'Materials']",0.504,7,3.124,5.792,4.458,5.922,2.546,6.445,4.355,6.183,1.052,7.806,6.719,3.65,3.832,2.848
"['Mechanisms', 'Materials', 'Structures', 'Dynamics', 'Instrumentation', 'Thermofluids']",0.504,4,2.365,4.125,4.56,4.199,7.882,2.801,3.741,5.455,4.077,1.622,2.068,4.404,5.139,6.404
"['Instrumentation', 'Structures', 'Thermofluids', 'Mechanisms', 'Materials', 'Dynamics']",0.503,9,3.912,5.578,4.544,4.2,3.827,5.268,5.23,6.023,2.63,5.609,5.311,5.228,4.161,3.177
"['Instrumentation', 'Structures', 'Dynamics', 'Materials', 'Thermofluids', 'Mechanisms']",0.503,7,3.679,7.164,3.681,4.498,4.035,4.155,4.6,4.356,2.164,5.891,5.592,4.761,4.943,3.726
"['Mechanisms', 'Instrumentation', 'Materials', 'Thermofluids', 'Structures', 'Dynamics']",0.503,5,3.186,4.059,4.608,5.085,6.433,4.191,3.391,6.942,3.28,3.451,2.889,4.826,4.286,4.941
"['Mechanisms', 'Materials', 'Dynamics', 'Structures', 'Instrumentation', 'Thermofluids']",0.503,4,2.126,4.467,4.32,4.781,7.642,2.801,3.262,5.215,3.598,2.204,2.41,3.925,5.242,6.507
"['Mechanisms', 'Materials', 'Dynamics', 'Structures', 'Thermofluids', 'Instrumentation']",0.503,3,1.947,4.199,4.512,4.743,7.553,3.044,3.454,5.318,3.598,2.217,2.513,3.745,5.152,6.507
"['Thermofluids', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Materials', 'Structures']",0.503,6,1.888,2.858,5.948,5.583,3.167,7.514,5.194,7.671,1.892,6.394,6.019,2.834,3.262,3.642
"['Thermofluids', 'Mechanisms', 'Structures', 'Materials', 'Dynamics', 'Instrumentation']",0.503,5,1.608,2.132,6.402,4.403,3.958,7.057,6.162,7.39,2.92,4.817,5.353,3.068,3.508,4.284
"['Dynamics', 'Thermofluids', 'Materials', 'Structures', 'Instrumentation', 'Mechanisms']",0.503,7,0.778,6.238,4.34,5.786,3.288,5.267,4.629,3.371,0.903,7.002,7.208,1.23,5.148,5.066
"['Instrumentation', 'Structures', 'Mechanisms', 'Materials', 'Thermofluids', 'Dynamics']",0.502,6,4.116,5.915,4.118,4.123,4.909,4.155,4.6,5.666,3.037,4.642,4.344,5.635,4.568,3.788
"['Mechanisms', 'Instrumentation', 'Materials', 'Thermofluids', 'Dynamics', 'Structures']",0.502,5,3.07,4.224,4.492,5.367,6.317,4.191,3.159,6.827,3.049,3.732,3.055,4.595,4.335,4.991
