Permutation,SkewScore,SatisfiedPairs,DMT12,DMT4,DMT5,DMT15,DMT9,DMT10,DMT6,DMT11,DMT1,DMT3,DMT13,DMT8,DMT2,DMT14
"['Materials', 'Mechanisms', 'Structures', 'Instrumentation', 'Thermofluids', 'Dynamics']",0.626,6,2.032,5.272,5.831,2.762,9.739,4.914,5.591,4.247,2.92,1.604,1.928,3.492,3.439,4.003
"['Materials', 'Structures', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Instrumentation']",0.626,6,1.328,6.275,5.725,2.438,8.577,5.068,6.545,2.587,2.36,2.602,3.528,2.508,3.915,4.021
"['Materials', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Structures']",0.626,8,0.941,6.587,5.248,4.243,8.439,5.247,4.825,2.877,1.228,3.819,3.751,1.555,3.821,4.176
"['Materials', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Structures']",0.625,8,1.273,5.638,5.58,3.958,9.103,5.247,4.825,3.873,1.892,2.87,2.803,2.219,3.536,4.223
"['Materials', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Structures']",0.625,8,1.186,6.955,4.985,4.295,8.561,4.914,4.563,2.737,1.228,3.802,3.611,1.8,3.944,4.176
"['Materials', 'Structures', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Instrumentation']",0.624,5,1.667,5.307,6.063,2.148,9.254,5.068,6.545,3.602,3.037,1.635,2.561,3.185,3.625,4.07
"['Materials', 'Dynamics', 'Structures', 'Thermofluids', 'Mechanisms', 'Instrumentation']",0.624,6,0.937,6.833,5.334,3.387,8.186,5.068,5.764,2.196,1.579,3.551,4.086,1.727,4.083,4.189
"['Materials', 'Structures', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Thermofluids']",0.623,6,1.752,6.911,5.27,2.529,8.789,4.492,6.091,2.344,2.36,2.572,3.286,2.933,4.127,4.021
"['Materials', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Structures']",0.623,8,1.518,6.006,5.317,4.011,9.225,4.914,4.563,3.733,1.892,2.853,2.663,2.464,3.659,4.223
"['Materials', 'Structures', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Thermofluids']",0.622,6,2.091,5.944,5.609,2.239,9.466,4.492,6.091,3.36,3.037,1.604,2.319,3.61,3.837,4.07
"['Materials', 'Dynamics', 'Structures', 'Instrumentation', 'Mechanisms', 'Thermofluids']",0.622,7,1.362,7.469,4.879,3.478,8.398,4.492,5.309,1.954,1.579,3.52,3.844,2.151,4.295,4.189
"['Materials', 'Mechanisms', 'Structures', 'Thermofluids', 'Dynamics', 'Instrumentation']",0.621,5,1.608,4.917,6.005,2.812,9.527,5.068,5.764,4.208,2.92,1.635,2.171,3.068,3.508,4.284
"['Materials', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Structures', 'Instrumentation']",0.621,7,0.878,6.434,5.274,4.064,8.465,5.068,4.968,2.813,1.46,3.551,3.688,1.608,3.963,4.408
"['Materials', 'Mechanisms', 'Structures', 'Instrumentation', 'Dynamics', 'Thermofluids']",0.619,6,2.032,5.553,5.55,2.903,9.739,4.492,5.309,3.965,2.92,1.604,1.928,3.492,3.72,4.284
"['Thermofluids', 'Materials', 'Instrumentation', 'Structures', 'Mechanisms', 'Dynamics']",0.619,8,1.492,4.142,7.229,3.575,5.453,9.191,7.419,5.934,1.1,5.728,5.627,2.042,1.804,1.512
"['Thermofluids', 'Materials', 'Instrumentation', 'Structures', 'Dynamics', 'Mechanisms']",0.619,7,1.394,4.423,7.13,3.66,5.256,9.191,7.419,5.638,0.903,6.009,5.908,1.846,1.888,1.498
