Permutation,SkewScore,SatisfiedPairs,DMT10,DMT4,DMT5,DMT6,DMT11,DMT3,DMT9,DMT12,DMT15,DMT13,DMT14,DMT8,DMT1,DMT2,DMT7
"['Thermofluids', 'Materials', 'Dynamics', 'Structures', 'Instrumentation', 'Mechanisms']",0.637,7,8.575,4.467,6.823,7.111,5.023,6.053,4.948,0.778,4.011,6.26,2.465,1.23,0.903,2.547,6.265
"['Materials', 'Thermofluids', 'Structures', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.636,7,7.543,4.904,7.089,7.384,4.31,3.152,8.545,1.251,2.404,3.599,2.396,2.176,1.849,2.245,8.614
"['Materials', 'Thermofluids', 'Structures', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.635,6,7.543,5.571,6.856,7.384,3.61,3.819,8.079,1.018,2.604,4.265,2.363,1.709,1.382,2.445,8.814
"['Thermofluids', 'Materials', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Structures']",0.635,8,8.575,3.611,6.985,6.562,6.059,5.471,5.547,0.941,4.304,5.403,2.645,1.555,1.228,2.291,6.283
"['Thermofluids', 'Materials', 'Structures', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.634,7,8.396,3.471,7.206,7.501,5.783,4.817,5.565,1.072,3.332,5.353,2.677,1.997,1.849,2.437,6.005
"['Thermofluids', 'Materials', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Structures']",0.634,8,8.575,4.193,6.781,6.562,5.448,6.053,5.14,0.737,4.478,5.985,2.616,1.148,0.821,2.465,6.458
"['Materials', 'Thermofluids', 'Mechanisms', 'Structures', 'Instrumentation', 'Dynamics']",0.633,8,7.543,4.664,7.053,6.905,4.682,3.152,8.713,1.215,2.811,3.359,2.528,2.104,1.777,2.173,8.782
"['Thermofluids', 'Materials', 'Structures', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.633,7,8.396,3.857,7.071,7.501,5.379,5.203,5.295,0.937,3.448,5.738,2.658,1.727,1.579,2.552,6.12
"['Materials', 'Thermofluids', 'Dynamics', 'Structures', 'Instrumentation', 'Mechanisms']",0.631,6,7.543,5.913,6.616,6.905,3.371,4.401,7.839,0.778,3.185,4.608,2.465,1.23,0.903,2.547,9.157
"['Thermofluids', 'Materials', 'Mechanisms', 'Structures', 'Dynamics', 'Instrumentation']",0.63,8,8.396,3.232,7.17,7.022,6.155,4.817,5.732,1.036,3.739,5.114,2.809,1.925,1.777,2.365,6.172
"['Thermofluids', 'Instrumentation', 'Structures', 'Materials', 'Mechanisms', 'Dynamics']",0.629,7,8.455,3.948,6.431,6.861,6.777,6.633,3.316,2.336,4.179,6.47,1.991,3.125,1.579,2.585,2.775
"['Thermofluids', 'Materials', 'Dynamics', 'Structures', 'Mechanisms', 'Instrumentation']",0.629,7,8.396,4.199,6.832,7.022,5.139,5.784,5.055,0.698,4.029,6.081,2.761,1.248,1.1,2.655,6.462
"['Thermofluids', 'Instrumentation', 'Structures', 'Materials', 'Dynamics', 'Mechanisms']",0.628,6,8.455,4.229,6.332,6.861,6.482,6.915,3.119,2.237,4.263,6.751,1.977,2.928,1.382,2.669,2.86
"['Materials', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Structures']",0.628,8,7.543,5.057,6.778,6.356,4.407,3.819,8.439,0.941,3.477,3.751,2.645,1.555,1.228,2.291,9.174
"['Thermofluids', 'Materials', 'Mechanisms', 'Dynamics', 'Structures', 'Instrumentation']",0.628,8,8.396,3.458,7.011,6.705,5.996,5.203,5.574,0.878,4.124,5.34,2.877,1.608,1.46,2.433,6.399
"['Materials', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Structures']",0.628,7,7.543,5.638,6.575,6.356,3.796,4.401,8.031,0.737,3.652,4.333,2.616,1.148,0.821,2.465,9.349
"['Materials', 'Thermofluids', 'Structures', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.627,7,7.364,4.917,6.999,7.295,4.131,3.165,8.456,1.072,2.506,3.701,2.677,1.997,1.849,2.437,8.896
