Permutation,SkewScore,SatisfiedPairs,DMT10,DMT4,DMT5,DMT6,DMT11,DMT3,DMT9,DMT12,DMT15,DMT13,DMT14,DMT8,DMT1,DMT2,DMT7
"['Instrumentation', 'Structures', 'Thermofluids', 'Materials', 'Dynamics', 'Mechanisms']",0.552,7,5.605,6.197,4.648,5.567,5.323,5.891,4.035,3.679,4.014,5.592,2.759,4.761,2.164,3.976,3.25
"['Instrumentation', 'Structures', 'Materials', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.551,7,5.242,6.425,4.674,5.494,5.036,5.028,5.25,3.778,3.639,4.729,2.773,4.958,2.36,3.891,4.184
"['Instrumentation', 'Materials', 'Dynamics', 'Structures', 'Mechanisms', 'Thermofluids']",0.551,5,5.072,7.873,4.207,4.397,3.74,5.609,6.28,3.147,4.554,4.681,2.761,3.698,1.1,3.88,6.462
"['Materials', 'Mechanisms', 'Instrumentation', 'Structures', 'Dynamics', 'Thermofluids']",0.551,8,4.862,5.869,5.496,5.015,4.096,2.16,9.685,2.163,3.273,2.059,3.805,3.384,2.441,3.426,9.728
"['Thermofluids', 'Mechanisms', 'Structures', 'Instrumentation', 'Dynamics', 'Materials']",0.551,9,6.898,2.185,6.031,5.791,7.815,5.454,3.003,2.032,4.827,5.777,4.284,3.492,2.92,3.72,3.231
"['Materials', 'Mechanisms', 'Structures', 'Instrumentation', 'Thermofluids', 'Dynamics']",0.551,7,4.914,5.272,5.831,5.591,4.247,1.604,9.739,2.032,2.762,1.928,4.003,3.492,2.92,3.439,9.686
"['Instrumentation', 'Structures', 'Materials', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.55,6,5.242,6.706,4.575,5.494,4.741,5.309,5.053,3.679,3.723,5.011,2.759,4.761,2.164,3.976,4.268
"['Instrumentation', 'Materials', 'Mechanisms', 'Dynamics', 'Structures', 'Thermofluids']",0.55,6,5.072,7.133,4.387,4.08,4.596,5.028,6.798,3.327,4.649,3.941,2.877,4.057,1.46,3.657,6.399
"['Materials', 'Mechanisms', 'Structures', 'Thermofluids', 'Dynamics', 'Instrumentation']",0.55,8,5.068,4.917,6.005,5.764,4.208,1.635,9.527,1.608,2.812,2.171,4.284,3.068,2.92,3.508,9.967
"['Materials', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Instrumentation', 'Structures']",0.55,8,5.247,5.638,5.58,4.825,3.873,2.87,9.103,1.273,3.958,2.803,4.223,2.219,1.892,3.536,10.42
"['Instrumentation', 'Materials', 'Dynamics', 'Mechanisms', 'Structures', 'Thermofluids']",0.549,7,5.072,7.714,4.183,4.08,3.985,5.609,6.391,3.124,4.824,4.522,2.848,3.65,1.052,3.832,6.574
"['Thermofluids', 'Structures', 'Mechanisms', 'Dynamics', 'Materials', 'Instrumentation']",0.549,8,6.72,2.571,6.124,6.606,6.785,5.203,3.01,1.667,4.124,6.129,4.455,3.185,3.037,4.011,3.835
"['Materials', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Instrumentation', 'Structures']",0.549,7,5.247,6.587,5.248,4.825,2.877,3.819,8.439,0.941,4.243,3.751,4.176,1.555,1.228,3.821,10.705
"['Materials', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Structures', 'Thermofluids']",0.548,8,4.862,6.096,5.337,4.698,3.937,2.545,9.526,2.004,3.658,2.285,3.873,3.066,2.124,3.494,9.954
"['Materials', 'Dynamics', 'Instrumentation', 'Structures', 'Mechanisms', 'Thermofluids']",0.548,6,4.862,7.785,4.825,5.015,2.084,4.076,8.344,1.492,3.848,3.975,3.71,2.042,1.1,4.001,10.302
"['Thermofluids', 'Structures', 'Dynamics', 'Mechanisms', 'Materials', 'Instrumentation']",0.548,9,6.72,3.153,5.92,6.606,6.174,5.784,2.603,1.463,4.299,6.711,4.426,2.778,2.63,4.185,4.01
"['Thermofluids', 'Dynamics', 'Structures', 'Instrumentation', 'Mechanisms', 'Materials']",0.548,7,6.898,4.101,5.361,5.791,5.803,7.37,1.662,1.362,5.402,7.693,4.189,2.151,1.579,4.295,3.806
"['Materials', 'Dynamics', 'Structures', 'Instrumentation', 'Thermofluids', 'Mechanisms']",0.548,6,4.914,7.469,5.062,5.591,1.94,3.802,8.201,1.263,3.421,4.125,3.893,1.954,1.382,4.098,10.345
"['Materials', 'Dynamics', 'Structures', 'Thermofluids', 'Mechanisms', 'Instrumentation']",0.547,5,5.068,6.833,5.334,5.764,2.196,3.551,8.186,0.937,3.387,4.086,4.189,1.727,1.579,4.083,10.542
"['Materials', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Structures', 'Thermofluids']",0.546,8,4.862,7.626,4.801,4.698,2.33,4.076,8.455,1.469,4.118,3.816,3.797,1.995,1.052,3.953,10.413
"['Thermofluids', 'Structures', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Materials']",0.544,8,6.653,2.593,5.967,6.449,6.964,5.471,2.607,1.846,4.304,6.308,4.455,3.364,3.037,4.1,3.343
"['Thermofluids', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Structures', 'Materials']",0.544,9,6.898,2.754,5.633,4.994,7.416,6.421,2.605,1.634,5.795,6.346,4.455,2.696,2.124,3.891,3.8
"['Thermofluids', 'Mechanisms', 'Structures', 'Dynamics', 'Materials', 'Instrumentation']",0.544,8,6.72,2.18,6.065,5.825,7.39,5.203,3.283,1.608,4.789,5.738,4.67,3.068,2.92,3.893,4.109
"['Materials', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Structures', 'Instrumentation']",0.544,7,5.068,5.486,5.606,4.968,3.81,2.602,9.129,1.21,3.779,2.739,4.455,2.272,2.124,3.679,10.536
"['Thermofluids', 'Structures', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Materials']",0.543,9,6.653,3.175,5.764,6.449,6.353,6.053,2.2,1.642,4.478,6.89,4.426,2.957,2.63,4.275,3.517
"['Materials', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Thermofluids', 'Structures']",0.543,8,4.914,6.006,5.317,4.563,3.733,2.853,9.225,1.518,4.011,2.663,4.223,2.464,1.892,3.659,10.42
"['Thermofluids', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Structures', 'Materials']",0.543,8,6.898,3.703,5.301,4.994,6.42,7.37,1.941,1.302,6.079,7.295,4.408,2.032,1.46,4.175,4.084
"['Instrumentation', 'Mechanisms', 'Thermofluids', 'Materials', 'Structures', 'Dynamics']",0.542,9,5.605,5.127,4.628,3.989,6.841,5.609,4.784,3.659,5.271,4.522,3.207,4.721,2.124,3.655,3.718
"['Materials', 'Structures', 'Mechanisms', 'Instrumentation', 'Dynamics', 'Thermofluids']",0.542,6,4.492,5.944,5.609,6.091,3.36,1.604,9.466,2.091,2.239,2.319,4.07,3.61,3.037,3.837,9.694
"['Materials', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Structures', 'Instrumentation']",0.542,7,5.068,6.434,5.274,4.968,2.813,3.551,8.465,0.878,4.064,3.688,4.408,1.608,1.46,3.963,10.821
"['Structures', 'Thermofluids', 'Materials', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.541,7,5.512,4.067,5.872,7.373,5.222,3.52,4.918,2.433,2.379,4.915,4.133,4.293,3.721,4.24,4.864
"['Materials', 'Structures', 'Dynamics', 'Instrumentation', 'Mechanisms', 'Thermofluids']",0.541,5,4.492,6.911,5.27,6.091,2.344,2.572,8.789,1.752,2.529,3.286,4.021,2.933,2.36,4.127,9.984
"['Materials', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Thermofluids', 'Structures']",0.541,7,4.914,6.955,4.985,4.563,2.737,3.802,8.561,1.186,4.295,3.611,4.176,1.8,1.228,3.944,10.705
"['Thermofluids', 'Dynamics', 'Structures', 'Mechanisms', 'Materials', 'Instrumentation']",0.541,7,6.72,3.711,5.53,5.825,5.783,6.733,2.212,1.072,5.248,7.269,4.593,1.997,1.849,4.352,4.568
"['Instrumentation', 'Mechanisms', 'Materials', 'Thermofluids', 'Structures', 'Dynamics']",0.54,7,5.242,5.636,4.555,3.917,6.259,5.028,5.802,3.659,4.98,3.941,3.207,4.721,2.124,3.655,4.736
"['Instrumentation', 'Mechanisms', 'Thermofluids', 'Materials', 'Dynamics', 'Structures']",0.54,9,5.605,5.292,4.512,3.758,6.725,5.891,4.668,3.543,5.552,4.688,3.256,4.49,1.892,3.704,3.884
"['Structures', 'Thermofluids', 'Materials', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.54,7,5.512,4.348,5.773,7.373,4.926,3.802,4.721,2.334,2.463,5.196,4.119,4.096,3.524,4.324,4.949
"['Instrumentation', 'Dynamics', 'Thermofluids', 'Materials', 'Structures', 'Mechanisms']",0.539,5,5.605,7.324,3.859,3.989,4.534,7.806,3.246,2.89,5.93,6.719,3.097,3.183,0.586,4.314,4.377
"['Thermofluids', 'Mechanisms', 'Structures', 'Dynamics', 'Instrumentation', 'Materials']",0.539,9,6.653,2.203,5.909,5.668,7.569,5.471,2.881,1.787,4.968,5.918,4.67,3.247,2.92,3.983,3.616
"['Thermofluids', 'Mechanisms', 'Dynamics', 'Structures', 'Materials', 'Instrumentation']",0.539,8,6.72,2.522,5.826,5.346,7.151,5.784,3.044,1.368,5.37,6.081,4.772,2.589,2.441,3.996,4.451
"['Instrumentation', 'Mechanisms', 'Materials', 'Thermofluids', 'Dynamics', 'Structures']",0.538,7,5.242,5.801,4.439,3.685,6.143,5.309,5.686,3.543,5.261,4.106,3.256,4.49,1.892,3.704,4.902
"['Thermofluids', 'Dynamics', 'Mechanisms', 'Structures', 'Materials', 'Instrumentation']",0.538,7,6.72,3.471,5.494,5.346,6.155,6.733,2.38,1.036,5.655,7.029,4.725,1.925,1.777,4.281,4.735
"['Instrumentation', 'Dynamics', 'Materials', 'Thermofluids', 'Structures', 'Mechanisms']",0.537,5,5.242,7.833,3.786,3.917,3.952,7.225,4.264,2.89,5.639,6.138,3.097,3.183,0.586,4.314,5.395
"['Instrumentation', 'Dynamics', 'Thermofluids', 'Materials', 'Mechanisms', 'Structures']",0.537,7,5.605,7.208,3.842,3.758,4.713,7.806,3.327,2.873,6.127,6.604,3.16,3.148,0.551,4.279,4.458
"['Structures', 'Materials', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Dynamics']",0.537,6,4.919,4.897,5.753,7.254,4.273,2.572,6.578,2.433,1.905,3.966,4.133,4.293,3.721,4.24,6.524
"['Structures', 'Materials', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Mechanisms']",0.537,7,4.919,5.178,5.655,7.254,3.978,2.853,6.381,2.334,1.989,4.247,4.119,4.096,3.524,4.324,6.609
"['Materials', 'Mechanisms', 'Structures', 'Instrumentation', 'Dynamics', 'Thermofluids']",0.537,8,4.492,5.553,5.55,5.309,3.965,1.604,9.739,2.032,2.903,1.928,4.284,3.492,2.92,3.72,9.967
"['Thermofluids', 'Dynamics', 'Structures', 'Mechanisms', 'Instrumentation', 'Materials']",0.537,7,6.653,3.733,5.373,5.668,5.962,7.002,1.809,1.251,5.427,7.448,4.593,2.176,1.849,4.442,4.075
"['Materials', 'Structures', 'Mechanisms', 'Dynamics', 'Thermofluids', 'Instrumentation']",0.536,6,4.49,5.693,5.678,6.16,3.217,1.635,9.254,1.667,2.341,2.561,4.455,3.185,3.037,4.011,10.079
"['Instrumentation', 'Structures', 'Thermofluids', 'Mechanisms', 'Materials', 'Dynamics']",0.535,6,5.268,5.578,4.544,5.23,6.023,5.609,3.827,3.912,4.2,5.311,3.177,5.228,2.63,4.161,2.761
"['Instrumentation', 'Dynamics', 'Materials', 'Thermofluids', 'Mechanisms', 'Structures']",0.535,7,5.242,7.717,3.769,3.685,4.132,7.225,4.345,2.873,5.836,6.022,3.16,3.148,0.551,4.279,5.476
"['Thermofluids', 'Mechanisms', 'Dynamics', 'Structures', 'Instrumentation', 'Materials']",0.535,9,6.653,2.545,5.669,5.189,7.33,6.053,2.641,1.547,5.549,6.26,4.772,2.768,2.441,4.085,3.959
"['Materials', 'Structures', 'Dynamics', 'Mechanisms', 'Thermofluids', 'Instrumentation']",0.535,6,4.49,6.275,5.474,6.16,2.606,2.217,8.847,1.463,2.515,3.143,4.426,2.778,2.63,4.185,10.253
"['Instrumentation', 'Structures', 'Thermofluids', 'Dynamics', 'Materials', 'Mechanisms']",0.534,5,5.268,6.245,4.311,5.23,5.323,6.276,3.361,3.679,4.4,5.978,3.144,4.761,2.164,4.361,2.961
"['Materials', 'Dynamics', 'Structures', 'Instrumentation', 'Mechanisms', 'Thermofluids']",0.534,5,4.492,7.469,4.879,5.309,1.954,3.52,8.398,1.362,3.478,3.844,4.189,2.151,1.579,4.295,10.542
"['Thermofluids', 'Dynamics', 'Mechanisms', 'Structures', 'Instrumentation', 'Materials']",0.533,8,6.653,3.494,5.337,5.189,6.334,7.002,1.977,1.215,5.834,7.208,4.725,2.104,1.777,4.37,4.243
"['Instrumentation', 'Structures', 'Materials', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.531,7,4.664,6.425,4.423,5.109,5.056,4.642,5.52,3.912,3.716,4.344,3.177,5.228,2.63,4.161,4.454
"['Structures', 'Thermofluids', 'Instrumentation', 'Materials', 'Mechanisms', 'Dynamics']",0.531,8,5.373,4.113,5.548,7.049,5.592,4.076,4.085,2.803,2.749,5.285,4.133,4.663,3.721,4.425,3.846
"['Structures', 'Thermofluids', 'Instrumentation', 'Materials', 'Dynamics', 'Mechanisms']",0.531,8,5.373,4.395,5.449,7.049,5.297,4.357,3.888,2.704,2.834,5.566,4.119,4.466,3.524,4.509,3.93
"['Instrumentation', 'Structures', 'Materials', 'Dynamics', 'Thermofluids', 'Mechanisms']",0.53,6,4.664,7.091,4.19,5.109,4.356,5.309,5.053,3.679,3.916,5.011,3.144,4.761,2.164,4.361,4.654
"['Materials', 'Structures', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Thermofluids']",0.53,6,4.247,5.961,5.486,5.968,3.115,1.622,9.343,1.846,2.379,2.459,4.455,3.364,3.037,4.1,10.079
"['Materials', 'Mechanisms', 'Dynamics', 'Instrumentation', 'Structures', 'Thermofluids']",0.53,8,4.492,6.122,5.152,4.513,3.567,2.572,9.341,1.634,3.87,2.497,4.455,2.696,2.124,3.891,10.536
"['Materials', 'Mechanisms', 'Structures', 'Dynamics', 'Thermofluids', 'Instrumentation']",0.53,7,4.49,5.302,5.619,5.379,3.822,1.635,9.527,1.608,3.005,2.171,4.67,3.068,2.92,3.893,10.352
"['Structures', 'Thermofluids', 'Materials', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.529,7,5.267,3.699,5.884,7.25,5.381,3.152,5.065,2.322,2.404,4.67,4.538,4.318,3.991,4.387,5.134
"['Materials', 'Structures', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Thermofluids']",0.529,6,4.247,6.543,5.282,5.968,2.504,2.204,8.936,1.642,2.553,3.041,4.426,2.957,2.63,4.275,10.253
"['Materials', 'Dynamics', 'Mechanisms', 'Instrumentation', 'Structures', 'Thermofluids']",0.529,7,4.492,7.071,4.82,4.513,2.571,3.52,8.677,1.302,4.155,3.446,4.408,2.032,1.46,4.175,10.821
"['Structures', 'Thermofluids', 'Materials', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.528,7,5.267,4.366,5.651,7.25,4.681,3.819,4.598,2.089,2.604,5.336,4.505,3.851,3.524,4.587,5.334
"['Materials', 'Dynamics', 'Structures', 'Mechanisms', 'Thermofluids', 'Instrumentation']",0.528,5,4.49,6.833,5.084,5.379,2.215,3.165,8.456,1.072,3.464,3.701,4.593,1.997,1.849,4.352,10.812
"['Instrumentation', 'Mechanisms', 'Thermofluids', 'Structures', 'Materials', 'Dynamics']",0.526,10,5.268,4.948,4.45,3.969,7.0,5.609,4.269,3.818,5.271,4.681,3.524,5.039,2.441,3.972,3.202
"['Structures', 'Materials', 'Instrumentation', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.526,6,4.417,5.452,5.356,6.858,4.062,2.545,6.763,2.803,1.984,3.754,4.133,4.663,3.721,4.425,6.524
"['Structures', 'Materials', 'Thermofluids', 'Mechanisms', 'Instrumentation', 'Dynamics']",0.526,7,4.674,4.529,5.765,7.132,4.432,2.204,6.725,2.322,1.929,3.721,4.538,4.318,3.991,4.387,6.794
"['Materials', 'Mechanisms', 'Dynamics', 'Structures', 'Thermofluids', 'Instrumentation']",0.526,8,4.49,5.644,5.38,4.9,3.583,2.217,9.288,1.368,3.586,2.513,4.772,2.589,2.441,3.996,10.695
"['Structures', 'Materials', 'Instrumentation', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.525,6,4.417,5.734,5.258,6.858,3.766,2.826,6.566,2.704,2.068,4.036,4.119,4.466,3.524,4.509,6.609
"['Structures', 'Materials', 'Thermofluids', 'Dynamics', 'Instrumentation', 'Mechanisms']",0.525,5,4.674,5.196,5.532,7.132,3.732,2.87,6.258,2.089,2.129,4.388,4.505,3.851,3.524,4.587,6.994
"['Materials', 'Mechanisms', 'Structures', 'Dynamics', 'Instrumentation', 'Thermofluids']",0.525,8,4.247,5.571,5.427,5.187,3.72,1.622,9.617,1.787,3.043,2.068,4.67,3.247,2.92,3.983,10.352
"['Materials', 'Dynamics', 'Mechanisms', 'Structures', 'Thermofluids', 'Instrumentation']",0.525,7,4.49,6.593,5.048,4.9,2.587,3.165,8.624,1.036,3.871,3.461,4.725,1.925,1.777,4.281,10.979
"['Instrumentation', 'Mechanisms', 'Materials', 'Structures', 'Thermofluids', 'Dynamics']",0.523,7,4.664,5.794,4.329,3.849,6.032,4.642,5.961,3.818,4.787,3.714,3.524,5.039,2.441,3.972,4.895
"['Instrumentation', 'Dynamics', 'Thermofluids', 'Structures', 'Materials', 'Mechanisms']",0.523,5,5.268,7.145,3.681,3.969,4.693,7.806,2.731,3.049,5.93,6.878,3.414,3.501,0.903,4.631,3.862
"['Instrumentation', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Materials', 'Structures']",0.522,9,5.268,5.34,4.175,3.42,6.725,6.276,3.994,3.543,5.938,5.073,3.642,4.49,1.892,4.09,3.595
"['Materials', 'Dynamics', 'Structures', 'Mechanisms', 'Instrumentation', 'Thermofluids']",0.522,5,4.247,7.101,4.892,5.187,2.113,3.152,8.545,1.251,3.502,3.599,4.593,2.176,1.849,4.442,10.812
"['Instrumentation', 'Structures', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Materials']",0.521,6,5.022,5.613,4.298,4.984,6.023,5.891,3.335,3.912,4.481,5.592,3.459,5.228,2.63,4.443,2.55
"['Instrumentation', 'Structures', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Materials']",0.521,5,5.022,5.999,4.163,4.984,5.618,6.276,3.065,3.778,4.597,5.978,3.439,4.958,2.36,4.558,2.666
"['Mechanisms', 'Thermofluids', 'Materials', 'Instrumentation', 'Structures', 'Dynamics']",0.521,7,5.512,2.598,5.652,4.435,7.499,3.52,5.946,2.212,4.877,3.446,4.941,3.852,3.28,3.799,5.893
"['Materials', 'Mechanisms', 'Dynamics', 'Structures', 'Instrumentation', 'Thermofluids']",0.521,8,4.247,5.913,5.188,4.708,3.481,2.204,9.377,1.547,3.625,2.41,4.772,2.768,2.441,4.085,10.695
"['Instrumentation', 'Dynamics', 'Materials', 'Structures', 'Thermofluids', 'Mechanisms']",0.52,6,4.664,7.992,3.56,3.849,3.725,6.839,4.423,3.049,5.447,5.911,3.414,3.501,0.903,4.631,5.554
"['Structures', 'Thermofluids', 'Materials', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.52,6,5.088,3.712,5.795,7.161,5.202,3.165,4.975,2.143,2.506,4.772,4.819,4.139,3.991,4.579,5.415
"['Structures', 'Thermofluids', 'Materials', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.52,7,5.088,4.097,5.66,7.161,4.798,3.551,4.706,2.008,2.621,5.157,4.8,3.869,3.721,4.694,5.531
"['Instrumentation', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Materials', 'Structures']",0.519,7,5.268,6.871,3.639,3.42,5.118,7.806,2.923,3.008,6.397,6.604,3.565,3.418,0.821,4.549,4.054
"['Mechanisms', 'Thermofluids', 'Materials', 'Instrumentation', 'Dynamics', 'Structures']",0.519,7,5.512,2.763,5.536,4.203,7.383,3.802,5.83,2.096,5.158,3.611,4.991,3.621,3.049,3.848,6.058
"['Materials', 'Dynamics', 'Mechanisms', 'Structures', 'Instrumentation', 'Thermofluids']",0.519,7,4.247,6.862,4.856,4.708,2.484,3.152,8.713,1.215,3.909,3.359,4.725,2.104,1.777,4.37,10.979
"['Instrumentation', 'Mechanisms', 'Materials', 'Dynamics', 'Thermofluids', 'Structures']",0.518,7,4.664,6.187,4.054,3.3,5.758,5.309,5.686,3.543,5.454,4.106,3.642,4.49,1.892,4.09,5.287
"['Mechanisms', 'Materials', 'Thermofluids', 'Instrumentation', 'Structures', 'Dynamics']",0.518,7,4.919,3.428,5.533,4.316,6.55,2.572,7.606,2.212,4.402,2.497,4.941,3.852,3.28,3.799,7.553
"['Instrumentation', 'Structures', 'Materials', 'Mechanisms', 'Dynamics', 'Thermofluids']",0.517,7,4.242,6.706,4.142,4.828,4.774,4.642,5.52,3.912,3.857,4.344,3.459,5.228,2.63,4.443,4.735
"['Structures', 'Materials', 'Thermofluids', 'Mechanisms', 'Dynamics', 'Instrumentation']",0.517,6,4.495,4.542,5.676,7.042,4.253,2.217,6.636,2.143,2.031,3.823,4.819,4.139,3.991,4.579,7.075
"['Instrumentation', 'Structures', 'Materials', 'Dynamics', 'Mechanisms', 'Thermofluids']",0.516,5,4.242,7.091,4.007,4.828,4.37,5.028,5.25,3.778,3.972,4.729,3.439,4.958,2.36,4.558,4.851
"['Instrumentation', 'Dynamics', 'Materials', 'Mechanisms', 'Thermofluids', 'Structures']",0.516,8,4.664,7.717,3.518,3.3,4.151,6.839,4.615,3.008,5.913,5.636,3.565,3.418,0.821,4.549,5.746
"['Mechanisms', 'Materials', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Structures']",0.516,7,4.919,3.594,5.417,4.084,6.434,2.853,7.491,2.096,4.684,2.663,4.991,3.621,3.049,3.848,7.718
"['Structures', 'Materials', 'Thermofluids', 'Dynamics', 'Mechanisms', 'Instrumentation']",0.516,5,4.495,4.927,5.541,7.042,3.849,2.602,6.366,2.008,2.147,4.208,4.8,3.869,3.721,4.694,7.191
"['Dynamics', 'Thermofluids', 'Materials', 'Instrumentation', 'Structures', 'Mechanisms']",0.516,7,5.512,6.447,4.304,4.435,3.457,7.37,3.252,0.865,6.031,7.295,4.749,1.158,0.586,4.954,7.047
"['Dynamics', 'Thermofluids', 'Materials', 'Instrumentation', 'Mechanisms', 'Structures']",0.514,8,5.512,6.331,4.287,4.203,3.637,7.37,3.333,0.848,6.228,7.179,4.813,1.123,0.551,4.919,7.129
"['Instrumentation', 'Mechanisms', 'Thermofluids', 'Structures', 'Dynamics', 'Materials']",0.513,9,5.022,4.983,4.203,3.723,7.0,5.891,3.776,3.818,5.552,4.962,3.805,5.039,2.441,4.253,2.991
"['Structures', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Materials', 'Dynamics']",0.513,8,5.036,3.776,5.346,6.712,5.997,4.076,3.68,2.938,3.019,5.285,4.538,4.933,3.991,4.694,3.441
"['Structures', 'Instrumentation', 'Thermofluids', 'Materials', 'Mechanisms', 'Dynamics']",0.512,8,4.554,5.019,4.901,6.402,5.247,4.032,4.387,3.406,2.879,4.94,4.133,5.267,3.721,4.726,3.846
"['Structures', 'Instrumentation', 'Thermofluids', 'Materials', 'Dynamics', 'Mechanisms']",0.512,9,4.554,5.3,4.802,6.402,4.952,4.314,4.19,3.308,2.963,5.221,4.119,5.07,3.524,4.811,3.93
"['Structures', 'Thermofluids', 'Instrumentation', 'Dynamics', 'Materials', 'Mechanisms']",0.512,9,5.036,4.443,5.112,6.712,5.297,4.742,3.213,2.704,3.219,5.952,4.505,4.466,3.524,4.894,3.641
"['Mechanisms', 'Thermofluids', 'Instrumentation', 'Materials', 'Structures', 'Dynamics']",0.512,7,5.373,2.644,5.328,4.111,7.869,4.076,5.113,2.582,5.247,3.816,4.941,4.223,3.28,3.984,4.875
"['Mechanisms', 'Thermofluids', 'Materials', 'Structures', 'Instrumentation', 'Dynamics']",0.512,7,5.267,2.389,5.688,4.629,7.412,3.152,5.982,2.126,4.631,3.359,5.259,3.925,3.598,3.993,6.051
"['Dynamics', 'Materials', 'Thermofluids', 'Instrumentation', 'Structures', 'Mechanisms']",0.512,7,4.919,7.277,4.186,4.316,2.509,6.421,4.912,0.865,5.557,6.346,4.749,1.158,0.586,4.954,8.708
"['Instrumentation', 'Mechanisms', 'Thermofluids', 'Dynamics', 'Structures', 'Materials']",0.51,8,5.022,5.21,4.045,3.406,6.841,6.276,3.618,3.659,5.938,5.189,3.873,4.721,2.124,4.321,3.218
"['Structures', 'Instrumentation', 'Materials', 'Thermofluids', 'Mechanisms', 'Dynamics']",0.51,7,4.191,5.528,4.828,6.329,4.665,3.451,5.405,3.406,2.588,4.358,4.133,5.267,3.721,4.726,4.864
"['Instrumentation', 'Dynamics', 'Thermofluids', 'Structures', 'Mechanisms', 'Materials']",0.51,6,5.022,6.899,3.533,3.723,4.988,7.806,2.435,3.147,6.127,6.878,3.71,3.698,1.1,4.828,3.566
"['Mechanisms', 'Thermofluids', 'Instrumentation', 'Materials', 'Dynamics', 'Structures']",0.51,7,5.373,2.81,5.212,3.879,7.753,4.357,4.997,2.467,5.528,3.981,4.991,3.991,3.049,4.033,5.04
"['Dynamics', 'Materials', 'Thermofluids', 'Instrumentation', 'Mechanisms', 'Structures']",0.51,8,4.919,7.161,4.168,4.084,2.688,6.421,4.993,0.848,5.754,6.23,4.813,1.123,0.551,4.919,8.789
"['Structures', 'Instrumentation', 'Materials', 'Thermofluids', 'Dynamics', 'Mechanisms']",0.509,7,4.191,5.809,4.73,6.329,4.37,3.732,5.208,3.308,2.672,4.64,4.119,5.07,3.524,4.811,4.949
"['Instrumentation', 'Mechanisms', 'Materials', 'Structures', 'Dynamics', 'Thermofluids']",0.508,6,4.242,6.076,4.047,3.567,5.751,4.642,5.961,3.818,4.928,3.714,3.805,5.039,2.441,4.253,5.176
"['Instrumentation', 'Dynamics', 'Thermofluids', 'Mechanisms', 'Structures', 'Materials']",0.508,7,5.022,6.74,3.509,3.406,5.234,7.806,2.546,3.124,6.397,6.719,3.797,3.65,1.052,4.781,3.677
"['Mechanisms', 'Materials', 'Thermofluids', 'Structures', 'Instrumentation', 'Dynamics']",0.508,7,4.674,3.219,5.569,4.511,6.464,2.204,7.642,2.126,4.157,2.41,5.259,3.925,3.598,3.993,7.711
"['Mechanisms', 'Thermofluids', 'Materials', 'Dynamics', 'Instrumentation', 'Structures']",0.507,7,5.267,2.781,5.413,4.08,7.138,3.819,5.708,1.851,5.298,3.751,5.376,3.375,3.049,4.111,6.443
"['Instrumentation', 'Structures', 'Mechanisms', 'Thermofluids', 'Materials', 'Dynamics']",0.506,7,4.396,5.578,4.166,4.648,6.052,5.028,4.235,4.116,4.316,4.729,3.788,5.635,3.037,4.568,3.168
"['Instrumentation', 'Mechanisms', 'Materials', 'Dynamics', 'Structures', 'Thermofluids']",0.506,7,4.242,6.302,3.889,3.25,5.592,5.028,5.802,3.659,5.313,3.941,3.873,4.721,2.124,4.321,5.403
"['Structures', 'Materials', 'Instrumentation', 'Mechanisms', 'Thermofluids', 'Dynamics']",0.506,6,3.839,5.452,5.106,6.472,4.081,2.16,7.033,2.938,2.061,3.369,4.538,4.933,3.991,4.694,6.794
